timestamp,train_accuracy,train_weighted_f1,test_accuracy,test_weighted_f1
20250216_222430,0.5013382016085975,0.49765241288149153,0.49880819520798025,0.49507073294111403
20250216_223402,0.503070802404285,0.49982908171669943,0.5006544592788548,0.49715163551151437
20250216_224423,0.5091814064033894,0.5055425239842215,0.5058901335096929,0.5023905136262647
20250216_225039,0.4927027539052409,0.48828802524152676,0.4921258215186211,0.487700938963031
20250216_225552,0.5132666241840759,0.5117640529106432,0.5099408919935519,0.5084765718195349
20250217_121946,0.5131960666763139,0.5113005226459469,0.5059674751929437,0.5041078810463437
