timestamp,train_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_precision,test_recall,test_f1
20250216_114933,0.9942556370595316,0.9943007010998878,0.9942556370595316,0.9942571716444503,0.7768935359989673,0.7767543681578963,0.7768935359989673,0.7767934732028838
20250216_115305,0.9942556370595316,0.9943007010998878,0.9942556370595316,0.9942571716444503,0.7768935359989673,0.7767543681578963,0.7768935359989673,0.7767934732028838
20250216_115647,0.7788387996217756,0.7805180941363667,0.7788387996217756,0.7790538086374984,0.7781714912705328,0.7799847304848748,0.7781714912705328,0.778404596265124
20250216_120009,0.7752663222200349,0.7823963131236427,0.7752663222200349,0.7751759273785056,0.7732145738535515,0.7804279271982013,0.7732145738535515,0.7731593124735814
20250216_121609,0.6802487502783434,0.693304231758929,0.6802487502783434,0.6786744297333038,0.6784199825733372,0.6915799120010371,0.6784199825733372,0.6769235360844423
20250216_124118,0.7312348121302873,0.7456528394022831,0.7312348121302873,0.72997314073559,0.7295962823119373,0.744547923320675,0.7295962823119373,0.7283244453212812
20250216_124551,0.603678976986224,0.6702412902803706,0.603678976986224,0.5761073019701687,0.6018088230548294,0.6696073097590579,0.6018088230548294,0.5747910671268964
20250216_124739,0.6068274874442808,0.6057039045696767,0.6068274874442808,0.6056398347098206,0.6059799270661891,0.6047337841013763,0.6059799270661891,0.6048088112671736
20250216_124925,0.6025111438310575,0.6252928303146473,0.6025111438310575,0.565446691458827,0.6039306806079969,0.6256225675215942,0.6039306806079969,0.5659809553827013
20250216_125114,0.6069767441860465,0.6056666132504707,0.6069767441860465,0.6031729475886738,0.6053425630102947,0.6035758072646096,0.6053425630102947,0.6014972832857074
20250216_125304,0.6066862986345025,0.6058267877032965,0.6066862986345025,0.6009565174114403,0.6062300319488818,0.604788108791257,0.6062300319488818,0.6003976190574087
20250216_125452,0.5816555396438008,0.6101427950563948,0.5816555396438008,0.5685336000482965,0.5778794333107432,0.6080044622773273,0.5778794333107432,0.5646143058656524
20250216_125652,0.6206418039895923,0.6378469059956867,0.6206418039895923,0.5954232012057104,0.6225755962177687,0.6386568244816215,0.6225755962177687,0.5970980310134925
20250216_125852,0.5965912987353517,0.6117989914265708,0.5965912987353517,0.5921247822734768,0.5956691515796947,0.6121623941522268,0.5956691515796947,0.5912901389704794
20250216_130053,0.5944593477076988,0.5927651338834075,0.5944593477076988,0.5911451285038434,0.592796979378449,0.590709169554058,0.592796979378449,0.5894022281808242
20250216_130237,0.6978902357853123,0.6977104838381695,0.6978902357853123,0.6965922341271774,0.697832962209959,0.6974119624101107,0.697832962209959,0.6965910187274756
20250216_130421,0.7034631598055628,0.7052600784607698,0.7034631598055628,0.7004762657513751,0.7025446154839126,0.7038427696972209,0.7025446154839126,0.6995304586888853
20250216_130605,0.7020411867927954,0.7017705359853089,0.7020411867927954,0.7009853017487957,0.7025849549811212,0.702142953555934,0.7025849549811212,0.7015341723553539
20250216_130753,0.7060085923475665,0.7057386145273464,0.7060085923475665,0.705809542722291,0.7044728434504792,0.7041619760438891,0.7044728434504792,0.7042532033144046
20250216_130942,0.709996167732306,0.7140376109346552,0.709996167732306,0.7101445246776227,0.708611675864072,0.7131247438396757,0.708611675864072,0.7088367227206276
20250216_131131,0.6475765949293047,0.6487322447393014,0.6475765949293047,0.6424020784830423,0.647690967179785,0.6482644346550558,0.647690967179785,0.6424615274961597
20250216_131333,0.6916658262570846,0.7054934772930586,0.6916658262570846,0.6899987843288653,0.6890712234162714,0.7033915087436478,0.6890712234162714,0.6875879486896722
20250216_131533,0.6516670364468827,0.668559679757456,0.6516670364468827,0.6484011456987407,0.6495546519508181,0.6676829651637568,0.6495546519508181,0.6463487943442142
20250216_131733,0.7030698481211803,0.7047826161827849,0.7030698481211803,0.7033477422460032,0.701076257785523,0.7030564461052443,0.701076257785523,0.7014178506960069
20250216_131917,0.7174085802456686,0.7172286428707048,0.7174085802456686,0.7164919988198928,0.7158969890599284,0.7155382525410521,0.7158969890599284,0.7149830996160463
20250216_132102,0.6855301639807176,0.6851191969090126,0.6855301639807176,0.684358343456234,0.6849081873043534,0.6843065066313712,0.6849081873043534,0.683750591788561
20250216_132248,0.6647996127392646,0.6656920228186942,0.6647996127392646,0.6650528259561884,0.6646012844095911,0.6656949568824646,0.6646012844095911,0.6649123070619909
20250216_132437,0.7219326731075657,0.7224277695679504,0.7219326731075657,0.7220892844529825,0.7191564204343757,0.7198508102581076,0.7191564204343757,0.719366787971854
20250216_132626,0.721868129651667,0.7216119926283895,0.721868129651667,0.721665608022182,0.7195356117081356,0.7192837586739442,0.7195356117081356,0.7193628354121712
20250216_132814,0.7096411787248633,0.7097459924206333,0.7096411787248633,0.7096881887431188,0.7085229289702133,0.7087488415391953,0.7085229289702133,0.7086172267561959
20250216_133014,0.7242320337239557,0.7263477885722508,0.7242320337239557,0.7244892077589946,0.7215041791719108,0.7241380584748844,0.7215041791719108,0.7218228600898935
20250216_133216,0.7333830855805885,0.7331399361869281,0.7333830855805885,0.7328186855945785,0.7324523187142995,0.732100640076434,0.7324523187142995,0.7319036518626839
20250216_133417,0.723501885879102,0.7243184172143469,0.723501885879102,0.7237082083637689,0.7217623519540453,0.7227982885456293,0.7217623519540453,0.7220212467062195
20250216_133521,0.6003287682284838,0.6091707157807207,0.6003287682284838,0.5988773401692209,0.5979281634233711,0.6076763435149211,0.5979281634233711,0.5965605167168766
20250216_133625,0.6004901268682306,0.6099166297628059,0.6004901268682306,0.5988032612474204,0.599848323490496,0.6101677148229324,0.599848323490496,0.5982889706247122
20250216_133729,0.589495552552492,0.5998231760116701,0.589495552552492,0.587192077948951,0.5865201536128054,0.5979358911491254,0.5865201536128054,0.5842400006032359
20250216_133836,0.6976139091147462,0.7030350942053524,0.6976139091147462,0.6975914309879364,0.6967034562881208,0.7025618990188944,0.6967034562881208,0.6967826598669734
20250216_133943,0.5951733596885779,0.6106997103036859,0.5951733596885779,0.5904838416625072,0.594257269177397,0.6110712087605842,0.594257269177397,0.589663162009053
20250216_134051,0.603243308658908,0.6021746342875206,0.603243308658908,0.6022135848277398,0.6024945945073741,0.6013329179604995,0.6024945945073741,0.6014887971214342
20250216_134207,0.5995461788257125,0.6014000275440089,0.5995461788257125,0.5999223983429267,0.5979523671216962,0.6002120182446291,0.5979523671216962,0.5984166160720905
20250216_134323,0.6019302527279695,0.610794089584391,0.6019302527279695,0.6004931218419847,0.5998725271888211,0.6097246915857133,0.5998725271888211,0.5984926631325332
20250216_134438,0.6006393836099961,0.6070652291887004,0.6006393836099961,0.6000844164025029,0.5997515086971956,0.6068945579495455,0.5997515086971956,0.5993099813759922
20250216_134541,0.7118074184634624,0.7117476043460195,0.7118074184634624,0.71177530239371,0.7103785458418046,0.7103465796968447,0.7103785458418046,0.7103620812393365
20250216_134644,0.7050686782710421,0.7069042345932534,0.7050686782710421,0.7021068911189173,0.704480911349921,0.7058583745030952,0.704480911349921,0.7014718279077895
20250216_134746,0.6536134250388269,0.652895559421315,0.6536134250388269,0.6521169918331055,0.6530238487107497,0.6520966047988046,0.6530238487107497,0.651572130860257
20250216_134853,0.7067548760563949,0.7083362542861712,0.7067548760563949,0.7070267882956898,0.7051989544002324,0.7069265235188461,0.7051989544002324,0.7055274984157747
20250216_134959,0.705542669275298,0.7065941841939604,0.705542669275298,0.7057862045633533,0.7039161583890018,0.705146806220997,0.7039161583890018,0.7042111822397938
20250216_135105,0.6862925835535206,0.6950012592415233,0.6862925835535206,0.6856689097325678,0.6848839836060283,0.6942387497557027,0.6848839836060283,0.6843748742755708
20250216_135221,0.7399160935073318,0.755980787687779,0.7399160935073318,0.7384295189983763,0.7370752250943944,0.7539091589501173,0.7370752250943944,0.7356904645801429
20250216_135336,0.7059843885516045,0.7243095379102313,0.7059843885516045,0.703568254045551,0.7041501274728111,0.7226826567834593,0.7041501274728111,0.7020044454534604
20250216_135450,0.6742007704875048,0.6939838681412931,0.6742007704875048,0.6707048792003887,0.672709523348501,0.6933851186067552,0.672709523348501,0.6693955726727143
