PA_RANK,Rank,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,HR_per_PA,RBI_per_PA,R_per_PA,WAR_per_PA
43,70,J.T. Realmuto,PHI,123,486,19,59,60,9,6.8%,24.6%,0.185,0.303,0.253,0.314,0.438,0.325,108,-0.1,4.4,9.5,3.1,0.03909465020576132,0.12345679012345678,0.12139917695473251,0.006378600823045267
44,123,Danny Jansen,TBR,92,366,13,41,44,1,10.2%,20.1%,0.176,0.253,0.228,0.316,0.404,0.315,110,-0.6,3.4,6.5,2.3,0.03551912568306011,0.12021857923497267,0.11202185792349727,0.00628415300546448
45,35,Riley Greene,DET,147,637,25,93,80,8,9.7%,25.7%,0.202,0.342,0.275,0.348,0.477,0.354,134,-0.4,24.3,-7.0,4.0,0.03924646781789639,0.12558869701726844,0.14599686028257458,0.006279434850863423
46,30,Trea Turner,PHI,156,672,22,80,80,24,5.9%,19.3%,0.167,0.317,0.277,0.324,0.444,0.331,112,1.6,11.1,7.2,4.2,0.03273809523809524,0.11904761904761904,0.11904761904761904,0.00625
47,46,Yainer Diaz,HOU,143,576,22,66,74,2,4.3%,17.8%,0.179,0.308,0.281,0.313,0.46,0.33,117,-0.8,10.7,4.8,3.6,0.03819444444444445,0.1284722222222222,0.11458333333333333,0.00625
48,33,Matt Chapman,SFG,157,679,31,87,94,10,10.3%,26.8%,0.217,0.29,0.24,0.326,0.457,0.337,119,-0.6,14.5,2.4,4.1,0.045655375552282766,0.13843888070692195,0.12812960235640647,0.006038291605301914
49,32,Corbin Carroll,ARI,157,679,24,112,81,39,10.3%,19.3%,0.208,0.298,0.263,0.349,0.471,0.352,125,3.3,23.7,-6.7,4.1,0.035346097201767304,0.11929307805596466,0.16494845360824742,0.006038291605301914
50,34,Luis Robert Jr.,CHW,154,665,32,76,96,28,6.1%,28.3%,0.212,0.314,0.255,0.309,0.467,0.332,117,1.6,14.6,2.0,4.0,0.0481203007518797,0.1443609022556391,0.11428571428571428,0.006015037593984963
51,50,Zach Neto,LAA,136,588,20,68,72,26,6.9%,22.4%,0.176,0.294,0.249,0.322,0.425,0.325,111,1.2,8.3,6.3,3.5,0.034013605442176874,0.12244897959183673,0.11564625850340136,0.005952380952380952
52,43,Wyatt Langford,TEX,144,623,24,84,80,21,9.9%,20.0%,0.199,0.301,0.266,0.342,0.465,0.348,128,1.1,21.3,-6.3,3.7,0.038523274478330656,0.12841091492776885,0.1348314606741573,0.00593900481540931
53,40,Jose Altuve,HOU,152,658,19,73,74,19,8.3%,17.3%,0.153,0.302,0.268,0.335,0.421,0.329,117,0.1,12.9,1.9,3.8,0.028875379939209727,0.11246200607902736,0.11094224924012158,0.005775075987841945
54,53,Jazz Chisholm Jr.,NYY,141,609,27,75,78,35,8.4%,25.8%,0.199,0.294,0.247,0.314,0.445,0.327,114,1.9,11.4,2.2,3.5,0.04433497536945813,0.12807881773399016,0.12315270935960591,0.005747126436781609
55,54,Isaac Paredes,HOU,141,609,19,72,67,2,11.5%,16.1%,0.164,0.263,0.243,0.344,0.407,0.33,118,-1.1,11.2,2.2,3.5,0.031198686371100164,0.11001642036124795,0.11822660098522167,0.005747126436781609
56,39,Kyle Schwarber,PHI,154,665,46,92,111,3,14.4%,29.1%,0.289,0.271,0.24,0.353,0.528,0.375,141,-1.6,31.3,-16.5,3.8,0.06917293233082707,0.16691729323308271,0.13834586466165413,0.005714285714285714
57,60,CJ Abrams,WSN,139,602,17,75,68,33,6.0%,19.1%,0.165,0.296,0.259,0.318,0.423,0.321,106,1.7,6.2,6.4,3.4,0.02823920265780731,0.11295681063122924,0.12458471760797342,0.005647840531561462
58,100,Austin Wells,NYY,117,462,16,52,55,4,10.0%,23.2%,0.177,0.267,0.229,0.312,0.406,0.313,104,-0.4,1.8,8.4,2.6,0.03463203463203463,0.11904761904761904,0.11255411255411256,0.005627705627705628
59,78,Matt Wallner,MIN,121,525,27,69,78,4,9.7%,34.1%,0.239,0.321,0.239,0.331,0.478,0.347,129,-0.6,16.8,-6.0,2.9,0.05142857142857143,0.14857142857142858,0.13142857142857142,0.005523809523809524
60,44,Freddie Freeman,LAD,157,679,21,86,83,11,11.0%,16.3%,0.176,0.311,0.28,0.367,0.456,0.357,132,-0.4,25.3,-12.1,3.7,0.030927835051546393,0.12223858615611193,0.12665684830633284,0.00544918998527246
61,42,Jeremy Peña,HOU,157,679,18,77,72,20,5.3%,18.6%,0.147,0.305,0.266,0.315,0.413,0.316,108,0.2,6.2,7.3,3.7,0.026509572901325478,0.10603829160530191,0.1134020618556701,0.00544918998527246
62,49,Brent Rooker,ATH,149,644,37,83,100,9,9.4%,29.9%,0.247,0.313,0.255,0.334,0.502,0.357,139,-0.5,28.1,-15.3,3.5,0.05745341614906832,0.15527950310559005,0.12888198757763975,0.005434782608695652
63,64,J.P. Crawford,SEA,141,609,11,68,54,5,11.6%,19.5%,0.12,0.288,0.24,0.335,0.361,0.31,109,-1.0,4.9,6.5,3.3,0.0180623973727422,0.08866995073891626,0.1116584564860427,0.00541871921182266
64,114,Logan O'Hoppe,LAA,115,462,19,52,56,4,8.1%,25.5%,0.182,0.292,0.243,0.314,0.425,0.32,107,-0.7,3.1,5.3,2.5,0.04112554112554113,0.12121212121212122,0.11255411255411256,0.005411255411255411
65,170,Kristian Campbell,BOS,78,336,9,43,37,8,10.1%,24.1%,0.163,0.329,0.262,0.349,0.426,0.339,116,0.0,6.3,-0.4,1.8,0.026785714285714284,0.11011904761904762,0.12797619047619047,0.005357142857142857
66,231,Victor Caratini,HOU,52,206,6,22,20,1,8.5%,20.3%,0.138,0.291,0.249,0.322,0.388,0.312,105,-0.4,0.7,3.5,1.1,0.02912621359223301,0.0970873786407767,0.10679611650485436,0.005339805825242719
67,174,Miguel Amaya,CHC,81,320,9,37,33,0,8.3%,20.5%,0.15,0.277,0.238,0.317,0.388,0.31,101,-0.5,-0.2,6.3,1.7,0.028125,0.103125,0.115625,0.0053124999999999995
68,497,Jair Camargo,MIN,5,19,1,2,3,0,4.7%,34.6%,0.191,0.29,0.219,0.263,0.41,0.289,88,0.0,-0.3,0.4,0.1,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.005263157894736842
69,491,Jimmy Crooks,STL,5,19,0,2,2,0,8.3%,25.1%,0.127,0.306,0.239,0.311,0.366,0.299,92,0.0,-0.2,0.4,0.1,0.0,0.10526315789473684,0.10526315789473684,0.005263157894736842
70,519,Sam Huff,SFG,5,19,1,2,2,0,6.5%,34.0%,0.152,0.3,0.216,0.27,0.369,0.279,79,0.0,-0.5,0.4,0.1,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.005263157894736842
71,51,Xander Bogaerts,SDP,154,665,17,72,67,15,8.0%,18.1%,0.136,0.302,0.264,0.327,0.4,0.318,107,0.2,5.8,6.2,3.5,0.02556390977443609,0.10075187969924812,0.10827067669172932,0.005263157894736842
72,68,James Wood,WSN,141,609,23,81,77,20,10.6%,26.7%,0.193,0.335,0.265,0.345,0.458,0.347,123,1.0,18.0,-7.4,3.2,0.03776683087027915,0.12643678160919541,0.1330049261083744,0.005254515599343186
73,48,Alex Bregman,,159,686,20,81,77,4,10.1%,13.1%,0.162,0.268,0.255,0.336,0.417,0.329,113,-1.1,9.3,2.5,3.6,0.029154518950437316,0.11224489795918367,0.11807580174927114,0.0052478134110787176
74,327,Riley Adams,WSN,29,115,4,13,14,0,7.6%,28.6%,0.176,0.294,0.23,0.306,0.406,0.311,99,-0.2,-0.3,2.3,0.6,0.034782608695652174,0.12173913043478261,0.11304347826086956,0.005217391304347826
75,92,Christopher Morel,TBR,120,518,27,69,74,10,9.1%,27.4%,0.232,0.291,0.245,0.32,0.477,0.341,128,-0.4,15.9,-6.9,2.7,0.052123552123552123,0.14285714285714285,0.13320463320463322,0.0052123552123552125
76,288,Edgar Quero,CHW,39,154,4,16,15,0,9.3%,21.4%,0.133,0.282,0.236,0.319,0.37,0.305,98,-0.3,-0.7,3.0,0.8,0.025974025974025976,0.09740259740259741,0.1038961038961039,0.005194805194805195
77,61,Gleyber Torres,DET,152,658,16,73,67,9,9.6%,17.8%,0.14,0.301,0.263,0.336,0.403,0.323,112,-1.0,8.3,2.3,3.4,0.0243161094224924,0.10182370820668693,0.11094224924012158,0.005167173252279635
78,59,Yandy Díaz,TBR,152,658,18,78,71,2,10.2%,15.1%,0.149,0.318,0.287,0.364,0.435,0.349,133,-1.6,23.3,-12.4,3.4,0.02735562310030395,0.10790273556231003,0.11854103343465046,0.005167173252279635
79,75,Jordan Westburg,BAL,134,581,18,74,70,10,7.0%,23.0%,0.176,0.306,0.255,0.315,0.431,0.322,113,-0.1,8.7,0.9,3.0,0.03098106712564544,0.12048192771084337,0.12736660929432014,0.0051635111876075735
80,96,Giancarlo Stanton,NYY,122,525,39,66,93,1,9.3%,30.2%,0.287,0.278,0.246,0.318,0.533,0.36,137,-0.8,21.5,-13.1,2.7,0.07428571428571429,0.17714285714285713,0.12571428571428572,0.0051428571428571435
81,84,Max Muncy,LAD,126,546,25,66,71,2,13.8%,25.6%,0.209,0.246,0.214,0.33,0.424,0.33,113,-0.9,7.8,1.6,2.8,0.045787545787545784,0.13003663003663005,0.12087912087912088,0.005128205128205128
82,88,Tyler O'Neill,BAL,126,546,27,66,75,7,9.6%,30.1%,0.216,0.304,0.242,0.323,0.458,0.336,123,-0.2,14.0,-5.6,2.8,0.04945054945054945,0.13736263736263737,0.12087912087912088,0.005128205128205128
83,85,Jacob Wilson,ATH,126,546,7,60,52,3,5.2%,12.8%,0.116,0.306,0.276,0.32,0.391,0.31,106,-0.8,3.0,5.8,2.8,0.01282051282051282,0.09523809523809523,0.10989010989010989,0.005128205128205128
84,83,Luis García Jr.,WSN,131,567,17,67,66,15,5.6%,15.3%,0.161,0.306,0.281,0.32,0.442,0.328,111,-0.2,7.0,2.0,2.9,0.029982363315696647,0.1164021164021164,0.11816578483245149,0.0051146384479717815
85,57,Jarren Duran,BOS,154,665,20,99,84,31,7.5%,22.8%,0.193,0.326,0.269,0.329,0.462,0.34,117,2.4,15.3,-4.1,3.4,0.03007518796992481,0.12631578947368421,0.14887218045112782,0.005112781954887218
86,55,Matt Olson,ATL,159,686,37,89,105,1,11.4%,23.9%,0.242,0.283,0.252,0.343,0.495,0.358,129,-1.2,23.0,-12.2,3.5,0.05393586005830904,0.15306122448979592,0.12973760932944606,0.00510204081632653
87,52,Pete Alonso,,159,686,41,87,107,4,9.7%,22.9%,0.252,0.263,0.247,0.334,0.499,0.356,131,-0.8,24.3,-13.1,3.5,0.0597667638483965,0.15597667638483964,0.12682215743440234,0.00510204081632653
88,66,Triston Casas,BOS,146,630,28,84,88,3,12.7%,25.4%,0.219,0.316,0.261,0.357,0.48,0.36,132,-1.1,21.7,-11.4,3.2,0.044444444444444446,0.13968253968253969,0.13333333333333333,0.005079365079365079
89,131,Bo Naylor,CLE,110,435,13,49,47,8,10.6%,26.9%,0.159,0.275,0.219,0.306,0.378,0.301,97,0.0,-1.6,8.5,2.2,0.029885057471264367,0.10804597701149425,0.11264367816091954,0.005057471264367817
90,82,Matt McLain,CIN,133,574,22,75,73,22,10.2%,27.0%,0.198,0.309,0.247,0.333,0.445,0.337,110,1.0,7.9,1.1,2.9,0.03832752613240418,0.12717770034843207,0.13066202090592335,0.005052264808362369
91,109,Josh Lowe,TBR,115,497,18,61,62,26,8.3%,28.7%,0.183,0.335,0.257,0.319,0.44,0.327,118,3.0,13.2,-5.2,2.5,0.03621730382293763,0.12474849094567404,0.1227364185110664,0.005030181086519115
92,62,Teoscar Hernández,LAD,152,658,34,80,97,10,7.1%,28.6%,0.222,0.323,0.262,0.321,0.484,0.344,123,-0.4,17.5,-7.2,3.3,0.05167173252279635,0.1474164133738602,0.12158054711246201,0.005015197568389057
93,58,Jackson Merrill,SDP,157,679,23,83,83,16,5.1%,17.3%,0.178,0.294,0.269,0.305,0.446,0.321,110,0.6,8.3,2.0,3.4,0.033873343151693665,0.12223858615611193,0.12223858615611193,0.005007363770250368
94,79,Colton Cowser,BAL,134,581,22,71,70,11,10.7%,29.1%,0.186,0.325,0.249,0.338,0.435,0.336,123,-0.5,14.6,-5.8,2.9,0.0378657487091222,0.12048192771084337,0.12220309810671257,0.004991394148020654
95,125,Jackson Holliday,BAL,109,469,9,58,42,9,13.4%,25.5%,0.13,0.313,0.238,0.342,0.368,0.316,109,0.0,4.7,1.7,2.3,0.019189765458422176,0.08955223880597014,0.12366737739872068,0.004904051172707888
96,67,JJ Bleday,ATH,152,658,21,80,77,6,11.6%,21.4%,0.175,0.263,0.228,0.319,0.403,0.316,110,-1.0,6.7,2.3,3.2,0.031914893617021274,0.11702127659574468,0.12158054711246201,0.004863221884498481
97,161,Joey Bart,PIT,99,393,13,42,44,1,7.6%,28.2%,0.159,0.317,0.245,0.315,0.403,0.314,99,-0.7,-1.4,6.4,1.9,0.03307888040712468,0.11195928753180662,0.10687022900763359,0.004834605597964376
98,284,Kyle Teel,CHW,42,166,3,17,15,2,10.6%,26.5%,0.117,0.312,0.237,0.321,0.354,0.3,94,-0.2,-1.2,3.3,0.8,0.018072289156626505,0.09036144578313253,0.10240963855421686,0.004819277108433735
99,520,Nacho Alvarez Jr.,ATL,5,21,0,2,1,0,10.1%,21.5%,0.086,0.297,0.236,0.324,0.322,0.292,85,0.0,-0.4,0.2,0.1,0.0,0.047619047619047616,0.09523809523809523,0.004761904761904762
100,506,Ben Rice,NYY,5,21,1,2,3,0,10.8%,24.7%,0.202,0.263,0.229,0.323,0.431,0.328,114,0.0,0.3,-0.4,0.1,0.047619047619047616,0.14285714285714285,0.09523809523809523,0.004761904761904762
101,77,Salvador Perez,KCR,149,611,27,68,82,1,5.2%,22.1%,0.195,0.296,0.262,0.311,0.457,0.33,111,-1.0,6.8,1.2,2.9,0.044189852700491,0.1342062193126023,0.11129296235679215,0.004746317512274959
102,65,Dansby Swanson,CHC,157,679,21,76,75,16,8.6%,24.5%,0.158,0.297,0.243,0.311,0.401,0.311,101,0.4,1.5,7.3,3.2,0.030927835051546393,0.11045655375552282,0.11192930780559647,0.004712812960235641
103,72,Ozzie Albies,ATL,152,658,22,80,82,12,6.7%,15.8%,0.177,0.282,0.262,0.315,0.439,0.325,107,0.1,5.7,2.3,3.1,0.03343465045592705,0.12462006079027356,0.12158054711246201,0.004711246200607903
104,80,Alec Bohm,PHI,143,616,16,70,70,6,6.7%,15.7%,0.152,0.306,0.277,0.329,0.428,0.327,109,-0.7,6.1,1.5,2.9,0.025974025974025976,0.11363636363636363,0.11363636363636363,0.004707792207792208
105,113,Ha-Seong Kim,,123,532,11,60,48,24,10.7%,17.9%,0.127,0.279,0.241,0.327,0.368,0.308,98,1.4,0.4,5.7,2.5,0.020676691729323307,0.09022556390977443,0.11278195488721804,0.004699248120300752
106,111,Matt Shaw,CHC,123,532,17,68,57,22,8.2%,22.2%,0.164,0.295,0.249,0.319,0.413,0.318,106,0.7,4.7,1.9,2.5,0.03195488721804511,0.10714285714285714,0.12781954887218044,0.004699248120300752
107,227,Yasmani Grandal,,65,256,6,26,24,1,11.2%,21.2%,0.129,0.272,0.228,0.318,0.358,0.301,94,-0.5,-2.3,5.0,1.2,0.0234375,0.09375,0.1015625,0.0046875
108,112,Lars Nootbaar,STL,125,539,18,70,62,9,12.7%,19.9%,0.178,0.287,0.251,0.347,0.429,0.338,119,-0.5,11.6,-5.5,2.5,0.03339517625231911,0.1150278293135436,0.12987012987012986,0.00463821892393321
109,143,Joc Pederson,TEX,105,455,22,60,62,4,10.7%,23.1%,0.221,0.286,0.252,0.347,0.473,0.353,132,-1.1,15.8,-11.1,2.1,0.04835164835164835,0.13626373626373625,0.13186813186813187,0.004615384615384616
110,210,Freddy Fermin,KCR,71,282,6,30,28,1,7.5%,19.2%,0.13,0.299,0.256,0.314,0.386,0.306,95,-0.4,-2.1,5.5,1.3,0.02127659574468085,0.09929078014184398,0.10638297872340426,0.004609929078014185
111,133,Keibert Ruiz,WSN,122,480,12,48,52,4,5.5%,10.7%,0.138,0.265,0.256,0.303,0.394,0.303,94,-0.7,-4.1,9.4,2.2,0.025,0.10833333333333334,0.1,0.004583333333333333
112,87,Jung Hoo Lee,SFG,143,616,13,70,60,13,7.3%,11.2%,0.129,0.288,0.271,0.33,0.4,0.319,106,-0.4,4.1,2.2,2.8,0.021103896103896104,0.09740259740259741,0.11363636363636363,0.004545454545454545
113,74,Marcell Ozuna,ATL,154,665,38,82,103,1,9.4%,24.3%,0.238,0.304,0.268,0.338,0.506,0.36,131,-1.2,23.2,-16.4,3.0,0.05714285714285714,0.1548872180451128,0.12330827067669173,0.004511278195488722
114,89,Willson Contreras,STL,139,601,27,74,81,6,10.0%,24.7%,0.207,0.298,0.251,0.347,0.458,0.349,126,-1.1,17.8,-11.1,2.7,0.04492512479201331,0.13477537437603992,0.12312811980033278,0.004492512479201331
115,130,Garrett Mitchell,MIL,113,490,19,62,58,22,9.9%,29.6%,0.187,0.313,0.24,0.321,0.427,0.324,108,1.4,5.9,-0.7,2.2,0.03877551020408163,0.11836734693877551,0.12653061224489795,0.004489795918367347
116,108,Daulton Varsho,TOR,134,581,22,73,73,15,8.7%,24.5%,0.193,0.268,0.228,0.3,0.421,0.312,105,0.3,3.4,2.1,2.6,0.0378657487091222,0.12564543889845095,0.12564543889845095,0.004475043029259897
117,99,Cedric Mullins,BAL,134,581,15,69,60,31,8.1%,19.7%,0.15,0.284,0.245,0.312,0.395,0.309,104,1.8,4.2,2.1,2.6,0.025817555938037865,0.10327022375215146,0.11876075731497418,0.004475043029259897
118,153,Brendan Rodgers,,104,448,13,52,51,1,6.5%,21.8%,0.156,0.317,0.265,0.317,0.421,0.32,107,-0.8,2.9,1.6,2.0,0.029017857142857144,0.11383928571428571,0.11607142857142858,0.004464285714285714
119,358,Tyler Freeman,CLE,26,112,2,12,10,4,6.9%,14.3%,0.111,0.28,0.25,0.329,0.361,0.307,101,0.1,0.2,0.6,0.5,0.017857142857142856,0.08928571428571429,0.10714285714285714,0.004464285714285714
120,116,Jesús Sánchez,MIA,125,539,24,70,74,10,8.3%,25.4%,0.211,0.312,0.261,0.326,0.471,0.342,117,0.0,11.1,-5.8,2.4,0.04452690166975881,0.137291280148423,0.12987012987012986,0.0044526901669758815
121,458,Drew Millas,WSN,11,45,1,5,4,1,8.2%,19.3%,0.102,0.291,0.242,0.306,0.344,0.288,84,0.0,-0.9,0.9,0.2,0.022222222222222223,0.08888888888888889,0.1111111111111111,0.0044444444444444444
122,217,Travis d'Arnaud,LAA,68,270,10,28,33,1,6.5%,24.8%,0.173,0.278,0.234,0.293,0.407,0.304,96,-0.4,-1.7,4.7,1.2,0.037037037037037035,0.12222222222222222,0.1037037037037037,0.0044444444444444444
123,265,Chase Meidroth,CHW,47,203,2,23,14,3,13.6%,18.3%,0.091,0.296,0.244,0.358,0.335,0.315,105,-0.2,0.9,1.1,0.9,0.009852216748768473,0.06896551724137931,0.11330049261083744,0.004433497536945813
124,107,Luis Rengifo,LAA,136,588,15,71,59,26,6.7%,16.5%,0.145,0.294,0.263,0.319,0.408,0.316,104,0.9,3.8,1.5,2.6,0.025510204081632654,0.10034013605442177,0.12074829931972789,0.004421768707482994
125,104,Josh Jung,TEX,136,588,24,66,75,6,5.6%,27.2%,0.184,0.311,0.252,0.301,0.436,0.317,107,-0.8,3.8,1.7,2.6,0.04081632653061224,0.12755102040816327,0.11224489795918367,0.004421768707482994
126,106,Jasson Domínguez,NYY,136,588,22,70,69,28,9.7%,26.3%,0.178,0.303,0.246,0.319,0.424,0.322,110,2.7,9.7,-4.3,2.6,0.03741496598639456,0.11734693877551021,0.11904761904761904,0.004421768707482994
127,73,Anthony Santander,,157,679,34,83,100,3,8.3%,20.2%,0.225,0.266,0.25,0.319,0.474,0.34,120,-1.1,15.1,-8.7,3.0,0.050073637702503684,0.14727540500736377,0.12223858615611193,0.004418262150220913
128,139,Dylan Moore,SEA,110,476,15,57,51,31,10.9%,28.8%,0.165,0.271,0.208,0.315,0.373,0.305,105,1.4,4.1,0.2,2.1,0.031512605042016806,0.10714285714285714,0.11974789915966387,0.004411764705882353
129,76,Randy Arozarena,SEA,152,658,22,78,75,24,10.4%,26.0%,0.172,0.296,0.237,0.334,0.409,0.326,120,-0.7,14.0,-7.6,2.9,0.03343465045592705,0.11398176291793313,0.11854103343465046,0.004407294832826748
130,363,Payton Eeles,MIN,21,91,2,12,8,5,9.8%,20.4%,0.139,0.293,0.244,0.341,0.383,0.321,110,0.3,1.3,-0.2,0.4,0.02197802197802198,0.08791208791208792,0.13186813186813187,0.004395604395604396
131,299,Alex Jackson,NYY,40,160,7,17,21,1,6.9%,30.8%,0.198,0.263,0.212,0.277,0.41,0.297,93,-0.2,-1.5,3.1,0.7,0.04375,0.13125,0.10625,0.0043749999999999995
132,176,Connor Wong,BOS,99,391,10,42,43,8,5.9%,26.1%,0.147,0.318,0.25,0.302,0.397,0.304,92,-0.4,-4.0,7.4,1.7,0.02557544757033248,0.10997442455242967,0.10741687979539642,0.004347826086956522
133,93,Nathaniel Lowe,WSN,144,623,18,78,66,3,11.3%,20.7%,0.156,0.33,0.276,0.362,0.433,0.347,124,-1.0,16.6,-11.1,2.7,0.028892455858747994,0.10593900481540931,0.12520064205457465,0.004333868378812199
134,216,Andy Pages,LAD,70,301,12,36,40,3,8.3%,24.9%,0.198,0.284,0.241,0.316,0.438,0.326,111,-0.4,3.4,-1.2,1.3,0.03986710963455149,0.132890365448505,0.11960132890365449,0.004318936877076412
135,321,Coby Mayo,BAL,32,140,5,17,18,1,8.5%,28.0%,0.193,0.304,0.241,0.314,0.434,0.323,114,-0.2,2.0,-0.8,0.6,0.03571428571428571,0.12857142857142856,0.12142857142857143,0.004285714285714286
136,266,Carson Williams,TBR,49,210,7,27,23,8,8.2%,33.4%,0.174,0.301,0.218,0.29,0.392,0.297,97,0.2,-0.5,2.3,0.9,0.03333333333333333,0.10952380952380952,0.12857142857142856,0.004285714285714286
137,270,Dairon Blanco,KCR,49,210,5,26,20,29,6.2%,23.6%,0.142,0.321,0.259,0.316,0.4,0.313,99,2.4,2.3,-0.7,0.9,0.023809523809523808,0.09523809523809523,0.12380952380952381,0.004285714285714286
138,94,Andrés Giménez,TOR,146,630,12,72,61,30,5.7%,17.7%,0.131,0.292,0.252,0.314,0.384,0.306,100,2.7,2.9,2.3,2.7,0.01904761904761905,0.09682539682539683,0.11428571428571428,0.004285714285714286
139,81,Anthony Volpe,NYY,157,679,17,81,70,31,8.1%,22.7%,0.15,0.281,0.233,0.302,0.383,0.3,94,2.5,-1.8,7.3,2.9,0.025036818851251842,0.10309278350515463,0.11929307805596466,0.004270986745213549
140,105,Brandon Nimmo,NYM,141,609,19,79,66,8,10.9%,22.1%,0.17,0.295,0.248,0.342,0.417,0.332,117,-0.9,11.3,-6.5,2.6,0.031198686371100164,0.10837438423645321,0.1297208538587849,0.004269293924466338
141,155,Jo Adell,LAA,109,469,26,59,71,15,7.4%,29.4%,0.238,0.284,0.238,0.303,0.476,0.332,116,0.1,8.5,-4.8,2.0,0.05543710021321962,0.1513859275053305,0.1257995735607676,0.0042643923240938165
142,244,Oswald Peraza,NYY,60,259,9,28,29,11,7.4%,24.2%,0.165,0.28,0.236,0.304,0.401,0.308,100,0.6,0.7,1.0,1.1,0.03474903474903475,0.11196911196911197,0.10810810810810811,0.0042471042471042475
143,236,Ramón Urías,BAL,60,259,7,30,26,2,7.5%,22.3%,0.143,0.309,0.255,0.32,0.398,0.314,107,-0.4,1.8,0.4,1.1,0.02702702702702703,0.10038610038610038,0.11583011583011583,0.0042471042471042475
144,141,Tyler Stephenson,CIN,123,497,15,56,55,1,9.0%,23.1%,0.155,0.31,0.255,0.329,0.41,0.323,100,-1.0,-0.7,4.2,2.1,0.030181086519114688,0.11066398390342053,0.11267605633802817,0.004225352112676057
145,102,Eugenio Suárez,ARI,143,616,25,72,79,2,9.1%,28.0%,0.193,0.295,0.238,0.316,0.431,0.324,106,-1.1,3.2,1.6,2.6,0.040584415584415584,0.12824675324675325,0.11688311688311688,0.004220779220779221
146,164,Luis Campusano,SDP,107,427,11,44,44,1,6.5%,16.5%,0.139,0.274,0.249,0.302,0.387,0.301,96,-0.7,-2.9,6.2,1.8,0.02576112412177986,0.10304449648711944,0.10304449648711944,0.004215456674473068
147,195,Jonah Heim,TEX,84,333,10,34,36,2,7.0%,18.7%,0.147,0.265,0.237,0.293,0.384,0.295,92,-0.4,-3.6,6.5,1.4,0.03003003003003003,0.10810810810810811,0.1021021021021021,0.004204204204204204
148,343,Esteury Ruiz,ATH,28,119,3,13,12,13,6.7%,21.9%,0.135,0.305,0.25,0.32,0.384,0.31,106,1.2,2.0,-0.9,0.5,0.025210084033613446,0.10084033613445378,0.1092436974789916,0.004201680672268907
149,95,Christian Walker,HOU,151,651,33,78,93,4,9.1%,22.7%,0.22,0.27,0.244,0.321,0.465,0.337,123,-1.0,15.9,-11.7,2.7,0.05069124423963134,0.14285714285714285,0.11981566820276497,0.004147465437788019
150,148,Luke Raley,SEA,112,483,22,59,64,12,6.7%,29.9%,0.208,0.3,0.237,0.317,0.445,0.33,122,-0.2,12.0,-8.3,2.0,0.045548654244306416,0.13250517598343686,0.12215320910973085,0.004140786749482402
151,248,Gary Sánchez,BAL,60,243,10,27,29,1,9.1%,26.7%,0.183,0.267,0.222,0.303,0.404,0.309,104,-0.4,0.6,1.3,1.0,0.0411522633744856,0.11934156378600823,0.1111111111111111,0.00411522633744856
152,459,Marcelo Mayer,BOS,11,49,1,5,5,1,7.7%,25.5%,0.147,0.301,0.238,0.297,0.386,0.298,88,0.0,-0.7,0.5,0.2,0.02040816326530612,0.10204081632653061,0.10204081632653061,0.004081632653061225
153,134,Brandon Marsh,PHI,125,539,15,70,56,16,10.2%,30.8%,0.16,0.342,0.247,0.327,0.407,0.32,105,0.6,3.6,-0.4,2.2,0.027829313543599257,0.1038961038961039,0.12987012987012986,0.004081632653061225
154,150,Wilyer Abreu,BOS,113,490,19,60,64,11,11.1%,26.6%,0.195,0.31,0.249,0.334,0.444,0.337,115,-0.1,8.3,-5.1,2.0,0.03877551020408163,0.1306122448979592,0.12244897959183673,0.004081632653061225
155,119,Xavier Edwards,MIA,136,588,1,67,36,32,8.5%,14.9%,0.072,0.329,0.279,0.34,0.351,0.306,93,1.8,-3.0,6.3,2.4,0.0017006802721088435,0.061224489795918366,0.11394557823129252,0.004081632653061224
156,347,Matt Thaiss,CHW,31,123,3,13,11,1,11.7%,25.9%,0.13,0.281,0.219,0.316,0.349,0.298,93,-0.1,-1.1,1.9,0.5,0.024390243902439025,0.08943089430894309,0.10569105691056911,0.0040650406504065045
157,110,Jake Burger,TEX,143,616,35,77,94,2,6.1%,26.3%,0.238,0.288,0.252,0.307,0.489,0.339,122,-0.9,15.0,-11.1,2.5,0.056818181818181816,0.1525974025974026,0.125,0.004058441558441558
158,331,Drake Baldwin,ATL,37,148,4,16,14,-1,10.0%,23.2%,0.134,0.287,0.235,0.315,0.369,0.302,92,-0.4,-1.8,2.6,0.6,0.02702702702702703,0.0945945945945946,0.10810810810810811,0.004054054054054054
159,207,Kyle Higashioka,TEX,81,322,14,34,42,2,5.9%,27.0%,0.192,0.264,0.225,0.272,0.417,0.296,92,-0.3,-3.2,5.3,1.3,0.043478260869565216,0.13043478260869565,0.10559006211180125,0.004037267080745342
160,208,José Caballero,TBR,75,322,6,34,28,30,8.7%,25.0%,0.118,0.292,0.227,0.312,0.345,0.293,94,2.1,0.0,2.2,1.3,0.018633540372670808,0.08695652173913043,0.10559006211180125,0.004037267080745342
